"date","pce_nom","gdp_nom","pce_defl","gdp_defl","cpi","ur","m1","m2","policy","cmr_1d","gov_10y","kospi","kosdaq","reer","rrppi","xr_usd","hfwh"
"2007-07-01",152148600,285548700,83.0813873216856,84.6205246206805,82.4715760058346,3.3,296231500,1224764400,4.91666666666667,4.85666666666667,5.48666666666667,1866.94583740234,784.819167073568,117.046522650771,100.497905765519,928.353333333333,1708335893.50175
"2007-10-01",155147100,294264900,83.859508937527,85.5195580615321,83.4629584887776,3.26666666666667,308233900,1277716200,5,4.99666666666667,5.66333333333333,1947.07080078125,762.253547914567,113.919840613125,100.531025021549,921.026666666667,1721881696.66901
"2008-01-01",158740200,294845200,84.9566018252022,85.0469785490646,84.1976081294504,2.96666666666667,295571500,1325472100,5,4.97666666666667,5.4,1691.74000224129,647.65262191022,106.223639708541,100.161857009312,955.646666666667,1718315739.49006
"2008-04-01",161401200,302275800,86.4609498200959,86.8740863417104,85.8760122650171,3.13333333333333,307760300,1362676100,5,4.97,5.52,1792.66283569336,638.837831624349,98.4824505731982,100.219451492673,1017.55333333333,1743876310.40468
"2008-07-01",162960300,305991500,87.3152027868813,87.3621357157766,87.050047863898,3.23333333333333,318818200,1393143100,5.16666666666667,5.13333333333333,5.97666666666667,1519.2115650177,497.17406129837,96.0434457771315,100.034624676759,1063.68666666667,1720817592.59415
"2008-10-01",157989000,299860500,87.7992552954873,88.6009378437599,87.2154490391821,3.36666666666667,321234400,1420513900,3.75,4.05,5.37666666666667,1132.20808919271,328.524762834821,78.1252761554343,99.9942211268802,1363.61666666667,1695110600
"2009-01-01",157991100,301904400,88.1915078377663,88.9702261412059,87.4706025405653,3.4,346707700,1477172300,2.16666666666667,2.08666666666667,4.87666666666667,1145.18064905386,375.363443343366,76.8527519140082,97.8859522393133,1412.51333333333,1747920800
"2009-04-01",164598800,310712600,88.7723355767258,90.3446354607946,88.2569683991589,3.83333333333333,368128400,1504947600,2,1.88,5.07,1371.28523763021,510.41460406591,84.3818536757795,96.9098568636259,1287.32,1847211600
"2009-07-01",167568800,320180500,89.3636397875681,90.3415665795083,88.7926858802767,3.76666666666667,376292400,1530457400,2,1.96666666666667,5.33333333333333,1564.00969534209,511.427729751125,85.5419073403119,97.2802874867972,1240.50666666667,1932784500
"2009-10-01",169400100,322508000,89.3702604143779,90.3365806762753,89.3171601219395,3.63333333333333,380301400,1564576200,2,1.99666666666667,5.38333333333333,1620.23888772631,492.445874895368,88.5593322461177,98.3029052191965,1168.64333333333,1975889000
"2010-01-01",172418600,334477300,90.2072865605464,91.5444207655042,90.0422433180587,4.1,386158400,1616280100,2,2.00333333333333,5.19,1650.23622806737,520.021148181352,91.8916747672261,97.6006992922094,1144.51333333333,2025540700
"2010-04-01",174952800,343685500,90.7912621987801,92.5690015612998,90.6316285370544,3.43333333333333,402894500,1644664200,2,2.00333333333333,4.93,1692.17241840978,501.630966678742,91.8820344320637,97.4778375359662,1164.18333333333,2077926600
"2010-07-01",178066400,347423400,91.4903287573771,92.633904007576,91.3543741372233,3.7,402569100,1653930400,2.25,2.25,4.62333333333333,1767.4917437841,482.920317634704,89.1891674767226,96.6345105561558,1184.74333333333,2147093900
"2010-10-01",180856800,353874000,92.1115922916782,93.0405137645692,92.2047489933522,3.56666666666667,418093500,1654675800,2.41666666666667,2.37666666666667,4.35,1939.72753342849,510.060460486779,89.896125388626,96.7935995338052,1132.4,2214887600
"2011-01-01",185401900,355795000,93.3586860794823,92.6608858157202,93.4655823275373,3.66666666666667,422908000,1680236300,2.83333333333333,2.77666666666667,4.65333333333333,2033.85516153971,518.875666809082,90.802316893884,96.642668965266,1120.22,2257335700
"2011-04-01",188329400,358455700,94.1071223256291,92.9503537558834,94.265835107833,3.33333333333333,417457500,1691081900,3.08333333333333,3.07666666666667,4.35333333333333,2116.46353444745,497.439192248929,91.8016983057111,98.1429421262854,1083.88333333333,2288063600
"2011-07-01",190001200,363290800,95.0842798345249,93.770412123008,95.3058075084746,3.3,421944600,1730154100,3.25,3.25333333333333,3.98,1938.04983375186,487.483489021422,91.7920579705488,98.5468805011594,1083.76,2245728900
"2011-10-01",191673600,371034100,95.6374461483626,95.1310835377503,95.8552517101231,3.23333333333333,428250300,1745479000,3.25,3.25333333333333,3.82333333333333,1852.14033163747,490.541902087984,88.2476280758694,99.6178659447122,1145.07,2332398200
"2012-01-01",194232300,373759200,96.3148918346126,94.9222758636313,96.2568461352622,3.3,443130600,1781796600,3.25,3.25333333333333,3.85333333333333,1973.86516152659,527.482259934948,89.4333893008347,99.2415107625442,1131.7,2390670700
"2012-04-01",195221100,374345700,96.4864518570563,94.671539433368,96.5834887908107,3.2,439542400,1793953800,3.25,3.25666666666667,3.76,1909.89754498591,481.579015512935,88.4950633450356,99.3161990554699,1151.77666666667,2400913700
"2012-07-01",197319500,376166800,96.6659559241909,94.7098394181623,96.8370767182318,3.16666666666667,446432200,1814426900,3,3.02333333333333,3.14666666666667,1900.47421455383,494.165000915527,90.3556480313632,98.8469934077141,1133.27666666667,2466522600
"2012-10-01",199458700,380402400,97.4446602563821,95.068470953273,97.4853546259224,3.13333333333333,461093000,1840118200,2.75,2.76666666666667,3.03,1938.01131451716,506.289506755891,92.7753721571053,98.2161735604414,1090.47333333333,2514062400
"2013-01-01",199610100,385330900,97.7182195771188,95.5423909423829,97.7570462718196,3.13333333333333,472618300,1863650900,2.75,2.75,3,1985.51426221504,523.373935386783,94.4752845907276,97.3051512097998,1084.74333333333,2552380700
"2013-04-01",201079600,390551300,97.4278946303213,95.75474803751,97.7711877047846,3.03333333333333,492009200,1880737500,2.58333333333333,2.59666666666667,3.01666666666667,1934.23901760963,552.118870888987,92.0298529045526,97.3856669378043,1122.57,2581536400
"2013-07-01",203251500,395650500,97.7880447486783,96.0416497554564,98.1604247755476,3.13333333333333,497420600,1904728300,2.5,2.49333333333333,3.53666666666667,1912.99951959425,534.670159124559,93.7940342392571,96.918209520572,1110.52,2629103900
"2013-10-01",205737400,399405500,98.3608217093835,96.111052955019,98.5071640119392,3.13333333333333,505709800,1925002700,2.5,2.5,3.559,2009.64952628843,513.792419925813,96.9239297219567,97.3158348407775,1062.09666666667,2678340100
