"date","pce_nom","gdp_nom","pce_defl","gdp_defl","cpi","ur","m1","m2","m4","m4_ex","policy","sonia_1d","gov_10y","gov_20y","ukx","asx","reer","rrppi","xr_usd","hfwh"
"1920-10-01",,,,,4.84281190966435,3.56011452920389,,,3048.13408295074,2695.07326930809,,,,5.60033333333333,,34.0212511354488,,,,
"1921-01-01",,,,,4.42260402685134,7.87729358683212,,,2991.42503977829,2644.9327498221,,,,5.24833333333333,,33.3598066924097,,,,
"1921-04-01",,,,,4.12964926475067,12.5508477470063,,,2935.95992985035,2595.89208065269,,,,5.30433333333333,,33.1153598330256,,,,
"1921-07-01",,,,,3.94720618484942,11.7632944937928,,,2940.9505151076,2600.30461388088,,,,5.17266666666667,,33.9349757733133,,,,
"1921-10-01",,,,,3.54890952566618,11.8885641723687,,,2945.99348048388,2604.76346011723,,,,5.07366666666667,,32.9715675627997,,,,
"1922-01-01",,,,,3.38959092544207,10.8208457801767,2740.21101548457,,2907.77554456637,2570.97225057841,,,,4.57666666666667,,34.6352441293134,,,,
"1922-04-01",,,,,3.37992887299814,9.89755381384507,2593.69150022994,,2740.95282325163,2423.47235566127,,,,4.31566666666667,,38.366912367762,,,,
"1922-07-01",,,,,3.26182192537744,9.19722403951969,2568.22250961618,,2661.42227734675,2353.15371398452,,,,4.285,,39.6182502201759,,,,
"1922-10-01",,,,,3.21337395430427,8.80437636645848,2539.47594471593,,2617.92182715084,2314.69185589841,,,,4.389,,40.0092932990552,,,,
"1923-01-01",,,,,3.2090586232084,8.23763029823532,2540.7484054834,,2579.46552508392,2280.68988980489,,,,4.331,,40.2215738275898,,,,
"1923-04-01",,,,,3.15032282458986,8.00970162396493,2522.19621396504,,2574.18550279882,2276.02144460705,,,,4.21066666666667,,41.3723577454347,,,,
"1923-07-01",,,,,3.15216122915793,8.039950679063,2500.03578018017,,2569.91324586938,2272.2440368104,,,,4.26166666666667,,39.1825165037103,,,,
"1923-10-01",,,,,3.15734155056481,7.67271739873673,2496.70070509031,,2576.58205329135,2278.14040623904,,,,4.38133333333333,,39.1043078879345,,,,
"1924-01-01",,,,,3.2211352942692,7.26865225072044,2510.87737026846,,2579.8751790021,2281.0520941222,,,,4.45166666666667,,39.8528760675036,,,,
"1924-04-01",,,,,3.16439353609714,6.94213333790731,2515.84752551302,,2591.35342400108,2291.20083116376,,,,4.36666666666667,,40.1210198930208,,,,
