"date","gdp_nom","gdp_defl","cpi","ur","m1","m3","policy","ibr_3m","gov_10y","reer","xr_usd"
"1989-09-01",,,60.7033639143731,1.5,,529228.377647815,12,,10.98,,6.6027
"1989-10-01",,,61.2057667103539,1.7,,533286.763665756,11,,11.17,,6.4518
"1989-11-01",,,61.3368283093054,1.5,,537331.950444657,12,,12.12,,6.423
"1989-12-01",,,61.5334207077326,1.5,,547186.930350375,12,,12.55,,6.2923
"1990-01-01",,,63.4993446920052,1.5,,560134.853983153,13,,12.87,,6.1798
"1990-02-01",,,63.8051550895588,1.4,,569730.565599624,13,,13.7,,6.1077
"1990-03-01",,,65.5526430755789,1.4,,559058.43770625,13,,13.75,,6.1637
"1990-04-01",,,65.4871122761031,1.4,,562936.43200104,12,,13.64,,6.1179
"1990-05-01",,,65.8802970729576,1.7,,559118.613229602,12,,13.28,,6.051
"1990-06-01",,,65.8147662734819,1.5,,562688.666298124,12,,12.89,,6.09198
"1990-07-01",,,66.4482306684142,1.7,,561641.271991212,12,,12.82,,5.9512
"1990-08-01",,,66.8851026649192,1.7,,565159.338864139,13,,13.26,,5.7737
"1990-09-01",,,67.649628658803,1.9,,570064.392901421,12,,13.35,,5.767
"1990-10-01",,,68.1083442551332,2,,568282.910519932,16,,13.25,,5.6439
"1990-11-01",,,68.3267802533857,2.3,,576403.201219713,14,,12.8,,5.5641
"1990-12-01",,,68.26124945391,2.2,,611227.611116862,14,,12.3,,5.6135
"1991-01-01",,,69.8558322411533,2.2,,597411.499435564,13,,11.85,,5.6402
"1991-02-01",,,71.7999126256007,2.5,,610104.783003317,12,,11.15,,5.5339
"1991-03-01",,,72.0620358235037,2.6,,615384.364092655,12,12.3369523809524,11.33,,5.8599
"1991-04-01",,,72.4770642201835,2.7,,612643.139852778,12,12.5380909090909,11.34,,6.1221
"1991-05-01",,,72.5425950196592,2.7,,621649.038967673,10,12.040347826087,10.79,,6.1451
"1991-06-01",,,72.433377020533,2.8,,632424.943483814,10,10.7826,10.6,,6.4238
"1991-07-01",,,72.4770642201835,3.2,,632887.197099131,10,10.7581739130435,10.61,,6.4682
"1991-08-01",,,72.346002621232,3.4,,628114.64721106,10,10.8557727272727,10.62,,6.3367
"1991-09-01",,,73.1542158147663,3.5,,638937.693169786,10,10.5655238095238,10.18,,6.1791
"1991-10-01",,,73.4381826124945,3.7,,638970.155540663,10.5,11.1000869565217,10,,6.1604
"1991-11-01",,,73.7439930100481,3.8,,639093.386015182,11.5,11.3394761904762,9.84,,5.931
"1991-12-01",,,73.656618610747,4.1,,638283.921078455,14.5,13.7483636363636,10,,5.7692
"1992-01-01",,,73.4600262123198,4.3,,631556.074029632,12,12.750652173913,9.54,,5.7509
"1992-02-01",,,73.5037134119703,4.6,,628743.179134,12,12.4308,9.45,,5.8829
"1992-03-01",,,73.8095238095238,4.8,,634939.793850477,11,11.7101363636364,9.42,,6.0259
"1992-04-01",,,74.0061162079511,5,,634099.13155515,11.5,11.9426818181818,9.55,,5.9574
"1992-05-01",,,74.0498034076016,5.4,,638324.676464148,11.5,11.8138571428571,9.54,,5.834
"1992-06-01",,,73.8750546089996,5.4,,636331.41023679,11.5,11.837,9.65,,5.6862
"1992-07-01",,,73.7876802096986,5.8,,634174.753809099,12,12.001652173913,9.86,,5.4
"1992-08-01",,,73.8095238095238,6,,633406.824910283,16,13.249380952381,10.6,,5.2927
"1992-09-01",,,74.8798602009611,6.1,,612010.30387389,40,22.4388636363636,11.22,,5.3658
"1992-10-01",,,75.0327653997379,6.3,,613181.68780367,12.5,15.3237727272727,10.98,,5.5835
"1992-11-01",,,74.6832678025339,6.5,,643017.535350374,12.5,13.8511428571429,10.63,,6.2255
"1992-12-01",,,74.9672346002621,6.7,,662589.116566608,11,11.7626956521739,9.79,,6.8812
"1993-01-01",,,76.9113149847095,7.5,,669219.136151175,10.5,10.4382380952381,10.17,,7.2485
"1993-02-01",,,77.1079073831367,7.6,,673150.23497152,9.75,9.89025,9.83,,7.5068
"1993-03-01",,,77.4574049803408,8,,665216.608321163,9.75,9.86826086956522,9.4,,7.7396
"1993-04-01",,,77.7632153778943,8.6,,664131.458708369,9.25,9.80681818181818,9.44,,7.4553
"1993-05-01",,,77.5884665792923,8.7,,672434.44519659,8.75,8.9352380952381,9.12,,7.3327
"1993-06-01",,,77.3263433813893,9.8,,669446.215625601,8.75,8.60045454545454,8.71,,7.4232
"1993-07-01",,,77.1952817824377,9.7,,679899.845584778,8.5,8.57954545454545,8.27,,7.9687
"1993-08-01",,,77.3263433813893,9.5,,682360.025963722,8,7.97227272727273,7.66,,8.0605
"1993-09-01",,,78.0253385757973,9.7,,684591.667195975,8,7.94681818181818,7.82,,8.01973
"1993-10-01",,,78.2437745740498,9.8,,694303.443651714,7.75,7.84714285714286,7.59,,8.02274
"1993-11-01",,,78.2874617737003,9.8,,689867.260368337,7.75,7.62545454545455,7.52,,8.25713
"1993-12-01",,,77.9598077763215,9.8,,694056.83687095,7.75,7.57695652173913,7.3,,8.36622
"1994-01-01",,,78.2219309742245,9.9,,703373.911293368,7.5,7.52904761904762,7.05,127.182103426421,8.12548
"1994-02-01",,,78.4840541721276,9.8,,705844.233054277,7.25,7.4395,7.15,128.56237431632,7.97488
"1994-03-01",,,78.7680209698558,9.5,,706687.628535941,7.25,7.29695652173913,7.87,128.16801120492,7.90188
"1994-04-01",,,79.0738313674094,9.3,,713136.015940124,7.25,7.33857142857143,8.64,129.088191798186,7.8779
"1994-05-01",,,79.2485801660114,9.2,,710527.802506517,7,7.16227272727273,8.91,129.717294856848,7.71538
"1994-06-01",,,79.2704237658366,9.6,,713821.290091864,6.92,7.15,10.01,126.468493986745,7.8131
"1994-07-01",,,79.2704237658366,9.4,,718945.441182416,6.92,7.63428571428571,10.9,124.224380090923,7.7683
"1994-08-01",,,79.3141109654871,9.3,,703942.87618263,7.2,7.95608695652174,11.44,124.074146524675,7.74166
"1994-09-01",,,80.0131061598952,9,,712631.481365517,7.2,8.01727272727273,11.41,127.022480262283,7.53927
"1994-10-01",,,80.1004805591962,9,,708553.444473533,7.2,8.14333333333333,11.1,129.717294856848,7.26684
"1994-11-01",,,80.0349497597204,9,,709713.486720311,7.4,8.16636363636364,11.09,128.862841448815,7.35075
"1994-12-01",,,79.9038881607689,9,,702045.30540009,7.6,8.20454545454546,10.84,127.698531310397,7.5162
"1995-01-01",,,80.1878549584972,9,,704713.918050827,7.6,8.21909090909091,11,126.76896111924,7.46754
"1995-02-01",,,80.5155089558759,8.8,,703184.240499862,7.83,8.1235,10.71,126.797129912911,7.38454
"1995-03-01",,,80.8431629532547,8.7,,704397.738580871,8.2,8.74565217391304,11.17,124.440340842403,7.26859
"1995-04-01",,,81.389252948886,8.8,,706830.362182227,8.41,8.9105,11.41,121.247877559643,7.34091
