"date","pce_nom","gdp_nom","pce_defl","gdp_defl","cpi","ur","m1","m2","policy","ffer_1d","tb_3m","gov_10y","compx","ndx","reer","rrppi","hfwh","hnfwh","hhwh"
"2009-01-01",2453742.25,3607725.5,90.6305317081062,90.9861129534015,89.6101681387022,8.26666666666667,5925200,8386700,0.125,0.183333333333333,0.213333333333333,2.73666666666667,1483.38852459016,1190.14196721311,98.8847118913465,90.2715708820913,46194418,27448128000,22541169
"2009-04-01",2451375.5,3595309,90.9904120298245,90.8352493521688,90.086676575173,9.3,6122900,8459500,0.125,0.18,0.173333333333333,3.31333333333333,1733.00619047619,1400.5119047619,95.8379840877229,89.343686873238,47302539,26698399000,21789925
"2009-07-01",2484851.5,3612220.5,91.6168741146264,90.943131942572,90.8617763370945,9.63333333333333,6291400,8461800,0.125,0.156666666666667,0.156666666666667,3.51666666666667,1983.5059375,1605.82421875,93.1162882068775,89.0098119195704,49459338,26338347000,21442248
"2009-10-01",2501249,3662812.25,92.323163278185,91.2307305914407,91.5731634892991,9.93333333333333,6503100,8512500,0.125,0.12,0.0566666666666667,3.46,2162.9146875,1766.9321875,90.3767334291761,89.3523724859765,49860985,26046331000,21115616
"2010-01-01",2525455.5,3691152.5,92.6795289836744,91.4933234235277,91.7183100968664,9.83333333333333,6630000,8523700,0.125,0.133333333333333,0.106666666666667,3.71666666666667,2280.55229508197,1856.36557377049,90.8017751743475,88.1707817290319,51076344,25985124000,21061741
"2010-04-01",2552036.25,3745048.25,92.8225930911471,91.9396526688264,91.6859615312264,9.63333333333333,6804100,8628400,0.125,0.193333333333333,0.146666666666667,3.49,2342.0626984127,1916.3873015873,92.2662047165347,88.0576081950493,50443465,26017712000,21107572
"2010-07-01",2575188.5,3785401.75,93.0011687046532,92.2192287008332,91.9547359179134,9.46666666666667,6975800,8718900,0.125,0.186666666666667,0.156666666666667,2.78666666666667,2237.45640625,1868.25765625,90.9946512603916,86.0932700181117,52583348,25867523000,20960510
"2010-10-01",2607576,3827368.5,93.5971482088948,92.754550920989,92.6993155113833,9.5,7167700,8822900,0.125,0.186666666666667,0.136666666666667,2.86333333333333,2536.13,2143.03109375,87.2121369063033,85.1163991534133,54447714,25650400000,20718964
"2011-01-01",2639548.75,3837862,94.3842391937944,93.2300022959625,93.6886190362167,9.03333333333333,7362600,8967000,0.125,0.156666666666667,0.126666666666667,3.46,2739.41935483871,2313.03725806452,86.0905981837502,82.5923600916071,55781049,25411834000,20439889
"2011-04-01",2668254.5,3889384.75,95.3126190626127,93.8466519506594,94.7538713673352,9.06666666666667,7613000,9176700,0.125,0.0933333333333333,0.0466666666666667,3.21,2764.90174603175,2319.83825396825,84.5725919509952,81.6255645376855,56238478,25328050000,20306440
"2011-07-01",2688757.25,3911920,95.753591682201,94.4114689679632,95.3717289710589,9,8024700,9545300,0.125,0.0833333333333333,0.0233333333333333,2.42666666666667,2606.6359375,2254.69671875,85.1047870773022,81.6089750173549,54386904,25259149000,20207587
"2011-10-01",2702296.5,3960564.75,96.070024884203,94.5239261223826,95.7998552050073,8.63333333333333,8195800,9677400,0.125,0.0733333333333333,0.0133333333333333,2.04666666666667,2600.91365079365,2289.88873015873,87.6371786514747,81.6390272374301,55790274,25221008000,20146342
"2012-01-01",2739825.25,4017201.25,96.7067014294983,95.0783104041894,96.3393730215072,8.26666666666667,8419500,9846200,0.125,0.103333333333333,0.0666666666666667,2.03666666666667,2907.18806451613,2561.34096774194,86.9871148059184,81.7252753719234,57886178,25075338000,19958213
"2012-04-01",2751263.75,4051778.75,96.9401875411865,95.4705654069496,96.5427470472264,8.2,8627100,10013000,0.125,0.153333333333333,0.0866666666666667,1.82333333333333,2926.48380952381,2616.32174603175,88.8551554170499,83.1472838894695,57757726,25283282000,20149005
"2012-07-01",2764848.25,4079885.25,97.2216789419415,95.9945694241973,96.9786088077409,8.03333333333333,8865300,10216600,0.125,0.143333333333333,0.103333333333333,1.64333333333333,3026.55523809524,2719.31333333333,88.7587173740278,84.6244460479051,59391148,25589598000,20435513
"2012-10-01",2791425.75,4105104.75,97.7666136019421,96.4763867175028,97.6234704314771,7.8,9145100,10474400,0.125,0.16,0.0866666666666667,1.70666666666667,3001.65580645161,2670.60709677419,86.9013921010099,86.4612794298416,60057600,25831692000,20643402
"2013-01-01",2819416,4162047.25,98.109048972365,96.8590512914543,98.0158725972839,7.73333333333333,9267600,10572900,0.125,0.143333333333333,0.0866666666666667,1.95,3176.37616666667,2759.95116666667,87.2764289349847,88.1185811964736,62416846,26305520000,21081792
