"date","gdp_nom","gdp_defl","cpi","ur","m1","m2","policy","ffer_1d","tb_3m","gov_10y","compx","ndx","reer"
"1978-09-01",201469.137122672,34.7582165736235,28.0588645442491,6,847300,1345000,8.9,8.45,7.85,8.42,135.2345,,
"1978-10-01",204383.963186369,35.0634306283533,28.3120272318664,5.8,846700,1352300,9.35,8.96,7.99,8.64,127.677727272727,,
"1978-11-01",206627.86933639,35.2350799865871,28.4808023569446,5.9,844200,1359100,9.94,9.76,8.64,8.81,114.122380952381,,
"1978-12-01",208225.417477241,35.3765948123752,28.6495774820228,6,839200,1366000,10.84,10.03,9.08,9.01,117.2485,,
"1979-01-01",208332.130866602,35.6380746398844,28.9027401696401,5.9,831200,1371600,10.57,10.07,9.35,9.1,123.718181818182,,
"1979-02-01",210576.477381183,35.8573349915221,29.1980966385269,5.9,826600,1377800,10.24,10.06,9.32,9.1,124.548947368421,,
"1979-03-01",212743.891752213,36.1048745032572,29.4934531074138,5.8,825700,1387800,10.07,10.09,9.48,9.12,128.080454545455,,
"1979-04-01",212593.416812991,36.4991376720568,29.7888095763006,5.8,827300,1402100,10.43,10.01,9.46,9.18,133.4455,,
"1979-05-01",216358.726753166,36.72531149656,30.126359826457,5.6,825400,1410200,10.31,10.24,9.61,9.25,131.348636363636,,
"1979-06-01",218859.606433841,37.0089492118945,30.4639100766134,5.7,829600,1423000,10.54,10.29,9.06,8.91,135.639523809524,,
"1979-07-01",221252.847878733,37.2880303368854,30.8014603267697,5.7,833500,1434800,10.81,10.47,9.24,8.95,138.580476190476,,
"1979-08-01",222076.864633867,37.5690706760177,31.0968167956566,6,835900,1446600,11.29,10.94,9.52,9.03,146.685652173913,,
"1979-09-01",223561.537487397,37.7908754199176,31.3921732645434,5.9,831800,1454100,12.16,11.43,10.26,9.33,149.203684210526,,
"1979-10-01",226051.023251303,37.9894664389681,31.7297235146998,6,822500,1460400,14.82,13.77,11.7,10.3,140.52652173913,,
"1979-11-01",226834.488351606,38.2455505548002,32.0672737648562,5.9,809900,1465900,13.96,13.18,11.79,10.65,138.782857142857,,
