"date","gdp_nom","gdp_defl","cpi","ur","m1","m2","m3","policy","ibr_3m","gov_10y","reer","xr_usd"
"2001-11-01",117435.283829159,77.3691662629011,78.3,4.7,418101.15952335,540371.209606799,686954.309715643,3.6,3.70102272727273,4.665,99.8781391940144,8.38144
"2001-12-01",116188.744520025,77.4720227865434,78.5,4.7,422812.948232086,545540.590568377,671051.415879359,3.6,3.63488095238095,4.972,100.174695561028,8.33059
"2002-01-01",117127.291860582,77.5644164508091,78.6,4.6,420570.725087325,544202.350899322,656033.487667863,3.6,3.6329347826087,5.083,99.8270087859085,8.41802
"2002-02-01",116035.521178833,77.9612048605347,79.2,4.4,423465.882902676,545694.258045202,657331.495537096,3.55,3.604625,5.145,99.9497217653626,8.53996
"2002-03-01",115503.186960584,78.2773851388718,79.7,4.3,421591.055415238,543046.102212842,653850.046507006,3.55,3.64047619047619,5.398,100.082660826438,8.48489
"2002-04-01",117680.639154076,78.4312724417417,80,4.3,427564.921462131,552207.476210055,666608.139719445,3.55,3.66681818181818,5.403,100.154243397786,8.3981
"2002-05-01",116899.344399357,78.4535991944827,80,4.4,426044.082310593,550039.021408512,664318.083056321,3.55,3.72554347826087,5.417,100.962103845859,8.11306
"2002-06-01",117160.716446567,78.5613390508551,80,4.5,419855.719409297,555301.614854783,672827.875566777,3.55,3.733125,5.271,102.138103232294,7.77506
"2002-07-01",118061.13661728,78.556177419696,79.8,4.8,429933.979643513,561216.681235723,682978.564979195,3.55,3.67782608695652,5.13,103.119807067927,7.48489
"2002-08-01",118200.065118873,78.8065148429649,79.9,5,436783.447294359,564250.250551139,690313.834488237,3.45,3.57897727272727,4.875,102.935737598746,7.5961
"2002-09-01",118864.298263847,79.3192866295768,80.3,5,445431.975824926,575334.968251885,707403.037617615,3.45,3.4522619047619,4.74,103.037998414957,7.57256
"2002-10-01",120069.245006892,79.4145673013332,80.5,4.9,436735.455489908,572236.174966526,709991.634669817,3.45,3.4358652173913,4.81,103.068676659821,7.57587
"2002-11-01",118453.914628544,79.2645027538164,80.5,4.8,445183.750630493,573728.116065619,718037.161436034,3.45,3.31083333333333,4.792,103.365233026835,7.49295
"2002-12-01",117423.940364564,79.0718513877319,80.5,4.7,445996.088229499,579203.600028417,751301.856049639,2.95,3.06534090909091,4.607,103.518624251153,7.28511
"2003-01-01",118682.350956355,78.9485565546202,80.6,4.8,452096.177093359,594139.849604434,770610.774040922,2.95,2.97478260869565,4.426,104.623041066239,6.99871
"2003-02-01",119550.323504561,79.3239270088656,81.4,5,460733.089270265,604138.113880391,792694.856566337,2.95,2.83425,4.21,105.891075187265,6.8986
"2003-03-01",119235.225539083,79.7992100191009,82,5.2,456875.6424405,595548.294464535,776660.295742861,2.7,2.66630952380952,4.264,106.842100778034,6.87471
"2003-04-01",119312.347446957,79.5265450142216,81.9,5.4,457948.098568926,605253.909602666,788603.58016393,2.7,2.67136363636364,4.409,106.678483472096,6.8489
"2003-05-01",118025.584307074,79.4761662463519,81.8,5.6,463459.535488672,613822.925652757,811617.698224733,2.65,2.53522727272727,4.088,108.355560857968,6.42658
"2003-06-01",118311.368245969,79.6866707857346,81.8,5.6,463261.050946058,609839.245991254,820298.873497519,2.15,2.21738095238095,3.851,108.590760735255,6.37227
"2003-07-01",118386.131891573,79.7531934948716,81.3,5.4,466119.21387958,616619.848678536,818550.412881556,2.15,2.1779347826087,4.166,107.435213512063,6.53948
"2003-08-01",119304.053013583,80.0263555780892,81.3,5.4,466376.465345085,614155.058254059,811838.649088947,2.15,2.185,4.351,106.750066043444,6.67438
"2003-09-01",121560.415094844,80.6050321330356,81.8,5.5,468260.181272177,614786.606024383,818362.336639954,2.15,2.18602272727273,4.4,106.80119645155,6.62165
"2003-10-01",121868.86858395,80.1268520369923,81.6,5.7,476660.948575136,628154.539971316,853754.450152167,2.15,2.19554347826087,4.438,107.189787553154,6.35512
"2003-11-01",122004.05550324,80.188485545912,81.8,5.8,479574.155610462,629240.424246217,857939.611830144,2.15,2.212625,4.572,107.251144042881,6.37138
"2003-12-01",122652.575912809,80.3063917367255,81.6,5.8,476555.084202164,622753.981941486,830113.330614597,2.15,2.22380434782609,4.518,108.018100164469,6.0703
"2004-01-01",123060.951995037,80.6709122860367,81.6,5.8,482555.530322314,634967.715387964,886403.588815646,2.15,2.19420454545455,4.35,108.611212898498,5.90553
"2004-02-01",124047.263182462,81.1575511385275,82.2,5.7,487144.154362838,640714.133428407,895394.669058287,2.15,2.17925,4.298,109.183873469283,5.89249
"2004-03-01",124796.884822501,81.2798804879742,82.5,5.5,490872.975001922,654502.344814172,909017.31042939,2.15,2.14467391304348,4.097,108.130587062302,6.07563
"2004-04-01",124330.98079526,80.7484481156758,82.6,5.5,497396.276451051,659064.763209173,922385.754658742,2.15,2.16863636363636,4.301,106.985265920731,6.21293
"2004-05-01",124515.372295432,80.856580668967,82.9,5.4,501406.051330195,668839.656895376,926641.340521296,2.15,2.19595238095238,4.463,107.537474328274,6.20236
"2004-06-01",124904.246909307,80.9230102980027,82.7,5.5,496452.053481456,657582.01339012,909984.338312293,2.15,2.20988636363636,4.532,107.384083103957,6.12493
"2004-07-01",125000.083568197,81.333422067308,82.4,5.6,504086.549587424,672747.212466358,930151.726974053,2.15,2.21829545454545,4.62,107.394309185578,6.06257
"2004-08-01",125392.700104555,81.4755077224196,82.2,5.6,510446.326258193,678106.258508935,924508.126382231,2.15,2.20875,4.451,106.821648614792,6.10591
"2004-09-01",127967.216327248,82.2191295769493,82.7,5.6,513169.544303604,676779.113973725,917887.147923683,2.15,2.21079545454546,4.375,107.251144042881,6.08822
"2004-10-01",128157.3934109,82.5067689469329,83,5.4,525534.746208923,684839.375693585,899812.071348952,2.15,2.20571428571428,4.229,107.67041338935,5.95414
"2004-11-01",128797.016268893,82.261975294512,82.8,5.3,536208.671827229,704639.160944733,924658.136186163,2.15,2.20636363636364,4.093,108.079456654197,5.71659
"2004-12-01",128704.190320207,82.2736394735797,82.6,5.3,543439.501024351,700595.476009819,869606.646201511,2.15,2.19804347826087,3.846,108.059004490954,5.55138
