"date","pce_nom","gdp_nom","pce_defl","gdp_defl","cpi","ur","m1","m2","m3","policy","ibr_3m","gov_10y","reer","rrppi","xr_usd","hfwh"
"2012-01-01",226835.4,467540.6,97.9721207147668,96.6568759875834,97.6,7.73333333333333,800379.615641578,959803.415359507,1478784.78869936,0.3,0.998488095238097,1.822,103.365233026835,87.831604265945,5.67093636363636,5537291
"2012-04-01",228922,472945.3,98.4216554025691,97.7972578221736,98.3,8.23333333333333,829713.244889917,989449.34019315,1470898.15494453,0.183333333333333,0.830399585921325,1.44566666666667,102.778937680554,88.5289950490986,5.79458503898635,5568373
"2012-07-01",229009.9,475337.4,98.6438576714314,98.1149847296772,98.4666666666667,7.76666666666667,869147.564979988,1018330.92921142,1464093.33868569,-0.2,0.34687068511199,1.18633333333333,101.187077641525,88.6839383976332,5.95244800043587,5675438
"2012-10-01",231619.5,477114.7,98.8800867611198,98.4717889918521,98.5,7.43333333333333,885069.509967464,1030287.82598901,1390352.68218733,-0.2,0.304319656189222,1.15966666666667,101.473407926918,88.2477655857709,5.75193274509804,5712639
"2013-01-01",232466,478359.9,98.6295523607092,98.0139453341404,98.7333333333333,7.53333333333333,887810.049942643,1040431.32655358,1268646.4605188,-0.1,0.301984126984127,1.643,102.407390048318,89.1536256014983,5.65015555555556,5803996
"2013-04-01",233877.3,481842.4,98.9591925972389,98.5466079191928,99.1333333333333,7.46666666666667,878713.777993118,1026365.04738503,1219509.46282181,-0.1,0.252499604743083,1.53033333333333,102.427842211561,92.0227489864325,5.70182249742002,5730134
"2013-07-01",235346.8,486396.5,99.6017582870053,98.6454593698002,98.9666666666667,7.36666666666667,883966.5816019,1032146.91372851,1201342.09807909,-0.1,0.269169725202334,1.93466666666667,103.320920006477,92.1776923349671,5.630592,5778549
"2013-10-01",235409.1,488956.4,99.6424673471124,99.1420950919136,99.1333333333333,7.1,886479.895790616,1034996.1634375,1198208.39264649,-0.1,0.261788302277433,1.872,104.108328291307,90.711024826393,5.48267669172932,5813195
"2014-01-01",233792.7,490443.2,100.083999872379,99.4325944417877,99.3333333333333,7.03333333333333,910797.739741114,1063608.46176574,1212897.48706388,-0.1,0.279093512767426,1.71433333333333,104.909371351632,91.8374969703475,5.4282,6113935
"2014-04-01",234679,490914.9,99.6997563569548,99.4419923229425,99.7333333333333,6.83333333333333,902979.708775501,1049637.78517637,1230166.49667108,0.05,0.33921052631579,1.47033333333333,104.578728045881,94.9794955064,5.44,6358698
