"date","pce_nom","gdp_nom","pce_defl","gdp_defl","cpi","ur","m1","m2","m3","ml","policy","tona_1d","gov_9y","gov_10y","gov_20y","n225","reer","rrppi","xr_usd","hfwh"
"2004-04-01",72257672,131912224,102.909641930051,105.19185494548,97.0040970374634,4.73333333333333,446428450.361255,688366969.492294,1023567976.74841,1294234420.50258,,0.000666666666666667,1.4904262295082,1.59365573770492,2.17193442622951,11532.1675409836,151.155158227556,112.595508837099,109.747623333333,1466682300
"2004-07-01",72693072,132619872,102.746669281577,105.101217546382,97.0445467997738,4.76666666666667,453556599.134602,692416758.767362,1025890929.16506,1304224524.37175,,0.000666666666666667,1.5461746031746,1.65344444444444,2.25011111111111,11151.0223809524,149.79799754084,110.858023532666,109.909103333333,1453286400
"2004-10-01",72358728,132479824,102.811354179884,105.18700664765,97.5010582495782,4.53333333333333,456749969.182773,694192260.864874,1026094160.8859,1313455820.31681,,0.001,1.32470491803279,1.45439344262295,2.07796721311475,11016.4867213115,151.876265404421,108.995168986673,105.88573,1469716600
"2005-01-01",72531504,132478824,102.457297997993,104.657918874096,97.1297047820367,4.53333333333333,462571578.773804,698182365.377253,1028432010.72042,1324837416.59592,,0.00133333333333333,1.26998333333333,1.399,2.02945,11594.4851666667,149.332051365019,108.424832791614,104.712593333333,1539740500
"2005-04-01",72742328,132835152,102.100665078029,104.132403715627,96.9130683971893,4.43333333333333,466730807.926644,699271923.31858,1026579483.77328,1323787904.42618,,0.001,1.12754098360656,1.27291803278689,1.93313114754098,11300.6303278689,145.563804117707,107.051698758163,107.63465,1549331800
"2005-07-01",73268304,133643328,101.868509817771,103.711597115429,96.7297384460162,4.3,475940230.992286,705938840.139349,1030743689.45145,1334961539.26026,,0.001,1.21646031746032,1.34546031746032,2.01774603174603,12295.8614285714,140.612201503231,106.002015392063,111.23808,1568476200
"2005-10-01",73303800,133685728,101.880750757099,103.552101239364,96.7613391361528,4.43333333333333,480942519.209329,707462970.928243,1029979153.20312,1341121753.88097,,0.001,1.43819672131148,1.5222131147541,2.06488524590164,14489.9086885246,133.205136501891,105.150215864297,117.287523333333,1631740500
"2006-01-01",73765200,133641848,102.180134398261,103.364223680962,96.9909900427753,4.2,483401991.953364,707787602.991413,1027383163.48926,1356171385.03863,0,0.00133333333333333,1.5236393442623,1.57349180327869,2.01665573770492,16200.5121311475,130.501909085026,104.408077375248,116.883143333333,1620643000
"2006-04-01",73550224,133496224,101.998415447924,103.098467728761,97.0879612877536,4.13333333333333,484273448.198845,706829461.518751,1024185667.56104,1374793871.93821,0,0.0193333333333333,1.85025806451613,1.88698387096774,2.23698387096774,16143.4017741935,130.764466057115,103.371632368777,114.415586666667,1609275400
"2006-07-01",73121352,133057296,102.190293165509,102.962947131569,97.3316121577912,4.1,483523133.527875,709300551.124429,1023774786.25099,1383385246.38411,0.25,0.222,1.74744444444444,1.8014126984127,2.22566666666667,15630.6149206349,128.297909713683,102.516276266783,116.186976666667,1612178100
"2006-10-01",74050472,134980480,101.928871259369,103.042474846692,97.109781243835,4.03333333333333,481726864.589509,712553836.049475,1024487203.83874,1392775883.15094,0.25,0.255333333333333,1.61840322580645,1.70124193548387,2.14879032258065,16476.1967741935,124.673883901745,102.566759862084,117.71154,1645779400
"2007-01-01",73905048,135495680,101.670336905761,102.771782678286,96.8834304183357,4,483201693.965743,715570438.839171,1025049190.64232,1401182794.70433,0.416666666666667,0.377666666666667,1.59410169491525,1.67676271186441,2.10701694915254,17376.5976271186,119.814730925328,102.905721144822,119.433483333333,1638531600
"2007-04-01",74302224,135507232,101.649253160472,102.74577229644,97.0149489431541,3.76666666666667,483148175.239705,719492542.390089,1027161361.98732,1414902687.50744,0.5,0.514,1.67833870967742,1.74682258064516,2.1543064516129,17692.3020967742,115.902262242643,102.261684828247,120.739206666667,1658049900
"2007-07-01",73554352,134119504,101.624866693915,102.246239284746,97.1991172626868,3.73333333333333,481805591.46016,721250186.826047,1026274035.01063,1423347027.45736,0.5,0.498,1.65391935483871,1.72582258064516,2.18640322580645,16908.2106451613,116.789778768016,101.905829817923,117.775973333333,1634835800
"2007-10-01",73964704,134205848,102.012975217839,101.852130635671,97.5957147489255,3.83333333333333,484517658.069625,727555864.779111,1031677899.12987,1436370443.62859,0.5,0.501,1.46916129032258,1.57546774193548,2.13411290322581,16034.3706557377,117.714275148613,101.317216783079,113.065453333333,1602490000
"2008-01-01",74529600,134407024,102.306958309695,101.634817717796,97.8272601715902,3.9,481849144.787544,731814743.913201,1033225809.31215,1444803969.28449,0.5,0.505666666666667,1.27023728813559,1.39596610169492,2.07615254237288,13286.6116949153,122.055710151895,101.152824018731,105.203613333333,1550062100
"2008-04-01",73736072,133397048,102.419650540411,101.485711471953,98.2920900648678,3.96666666666667,481097833.698544,735255670.217044,1035629027.71764,1438936236.22797,0.5,0.506666666666667,1.52524193548387,1.61195161290323,2.23609677419355,13809.5962903226,120.339844869507,99.6640025291194,104.510769206349,1567884600
