"date","gdp_nom","gdp_defl","cpi","ur","m1","m2","m3","ml","policy","tona_1d","gov_9y","gov_10y","gov_20y","n225","reer","xr_usd"
"2010-08-01",42571842.5497042,98.6291510137417,96.2076864342071,5.1,494049705.712451,778697645.631882,1078842608.81,1481966454.01781,0.1,0.095,0.851772727272727,1.002,1.63868181818182,9268.235,147.083676167408,85.4736
"2010-09-01",42693112.9651168,98.5276726814418,96.3094935097989,5.1,495242875.20217,780309005.070755,1080311367.61202,1484086756.77606,0.1,0.091,0.9103,1.06205,1.8052,9346.724,147.161333863378,84.3853
"2010-10-01",42072622.7713412,98.5595330557609,96.5131076609824,5.1,497646012.754044,781948568.291829,1081970290.36082,1486123310.19805,0.05,0.091,0.74245,0.8991,1.7492,9455.093,148.259635563527,81.867
"2010-11-01",42161492.5993857,98.3874907969224,96.5131076609824,5,498588890.569999,782154544.788376,1082378748.6259,1486888274.92676,0.05,0.091,0.92145,1.0534,1.8884,9797.1805,146.240535468304,82.476
"2010-12-01",42098532.629273,98.165905716454,96.3094935097989,4.9,499505253.236711,781652155.804149,1081900132.71637,1486091010.35481,0.05,0.087,1.07752380952381,1.19052380952381,1.99466666666667,10254.4585714286,144.920354636812,83.4255
"2011-01-01",42266170.7416296,98.1391829330194,96.2076864342071,4.8,501431580.197043,783674441.178367,1084076682.0634,1487229010.11006,0.05,0.085,1.09468421052632,1.21373684210526,1.99378947368421,10449.53,144.032838111439,82.6111
"2011-02-01",42369540.2752998,98.0505821953814,96.2076864342071,4.7,503295512.43765,785888313.234462,1086180933.008,1489314767.1498,0.05,0.093,1.18273684210526,1.29005263157895,2.0301052631579,10622.2668421053,142.146865495022,82.4978
"2011-03-01",40032688.9830699,98.2109409583603,96.2076864342071,4.7,507386152.562942,788315071.696783,1088395899.93219,1493264239.6715,0.05,0.085,1.122,1.24859090909091,2.04659090909091,9852.44636363636,142.590623757708,81.7936
"2011-04-01",40182463.1331694,97.7383015630993,96.2076864342071,4.7,514089875.826401,792284091.545714,1093455217.27734,1493704326.58215,0.05,0.062,1.14325,1.2733,2.0605,9644.625,137.409746040844,83.347
"2011-05-01",40961619.4406649,97.2949488976461,96.2076864342071,4.6,516229577.699652,796115298.262591,1098254045.55558,1494471962.09448,0.05,0.069,1.02005263157895,1.15436842105263,1.93805263157895,9650.78368421053,140.671369271589,81.2572
"2011-06-01",41523493.4261656,97.1216024730872,96.3094935097989,4.7,515667993.553309,797090747.481989,1099374138.12998,1496144519.59105,0.05,0.069,0.990454545454545,1.13022727272727,1.90522727272727,9541.53227272727,141.503416014126,80.5118
"2011-07-01",41698218.1379851,97.125793135335,96.4113005853906,4.7,518327453.259528,799057500.295509,1101944983.45307,1497836887.39364,0.05,0.073,0.97925,1.1228,1.8868,9996.6785,142.601717714275,79.3973684210526
