"date","pce_nom","gdp_nom","pce_defl","gdp_defl","cpi","ur","m1","m2","m3","policy","estr_1d","euribor_3m","gov_10y","sx5e","reer","rrppi","xr_usd","hfwh","hnfwh","hhwh"
"1994-04-01",759526.252264142,1355933.75259561,70.1662363589421,70.5328134203321,68.2652573804218,11.0346948,1260722,3145542,3642375,,6.0449999554952,6.37,7.86,1382.56597402597,117.917018878557,81.5089040485941,0.859513915,,,12104996.5651777
"1994-07-01",770755.309790607,1374799.59228236,70.6898047509038,71.0357989004686,68.7643821371641,10.917961,1271745,3162985,3656168,,5.98500001271566,6.38333333333333,8.73,1348.05969414643,120.977740208509,81.9783658862784,0.815105993,,,12125319.7931451
"1994-10-01",779754.917367555,1397183.71731941,71.1907668245218,71.6240993187799,69.1685330679775,10.9189549,1273837,3159101,3672401,,5.69499989191691,6.50666666666667,9.14,1313.67513708514,120.14652014652,81.4037731804226,0.806317455,,,12150838.0076227
"1995-01-01",789366.5,1413598.3,71.7510305024008,72.0740640323723,69.6219108174388,10.8713232,1279786,3176992,3698901,,6.02166672388713,6.94333333333333,9.32,1310.36769828722,121.576500422654,80.6980646338298,0.78536314,,,12181383.5407572
"1995-04-01",799999.9,1430894.6,71.9994993607068,72.375504410364,70.0991433836244,10.7835611,1291901,3212302,3752177,,6.37166678746541,7.13666666666667,8.93,1362.22214426877,122.527472527473,80.5641337543981,0.751309529,,,11858726.9237623
"1995-07-01",812405,1452808,72.9759402106233,73.3001531438843,70.5101834220785,10.9083315,1313848,3256397,3804491,,5.90166667938232,6.69333333333333,8.51333333333333,1438.33716356108,122.235136658214,81.3550513568622,0.761949849,,,11547157.4037412
"1995-10-01",820646.5,1467155.8,73.4456777865786,73.8591989527082,70.9107080330449,10.9734638,1349298,3312463,3877110,,5.71500003178914,6.50666666666667,8.15333333333333,1441.04814574315,122.91842772612,80.9052947900401,0.759097786,,,11347664.8314943
"1996-01-01",834036,1480392.8,73.9656705292085,74.4005718157272,71.3833804784568,10.936109,1347622,3337370,3919392,,4.92833332061768,5.63,7.64333333333333,1579.26924085576,121.544801352494,80.6403563405904,0.776800796,,12345454.420794,11360054.514504
"1996-04-01",842583.2,1497742.5,74.5184383223042,74.6972310623846,71.8211832170373,11.0428371,1370698,3382265,3948661,,4.63833335876465,5.13666666666667,7.53666666666667,1661.64523781291,119.058185404339,80.4944074113473,0.797128857,,12459665.611201,11470095.818008
"1996-07-01",851301.4,1511681.8,74.8267152504883,75.0232253723916,72.0158053698521,11.0258581,1403713,3430659,4002704,,4.24499992370605,5,7.27666666666667,1626.12465681661,120.252183713722,81.4610483907858,0.784802873,,12614386.679732,11620335.190371
"1996-10-01",851553.1,1517068.4,74.7495060751742,74.8803782584603,72.3868973395474,10.9986492,1458860,3485231,4037575,,4.16833340962728,4.58666666666667,6.47333333333333,1763.6433672125,118.469991546915,81.3482303015637,0.792438036,,12663221.106065,11663000.527733
"1997-01-01",852908.6,1515044.3,74.5443178502931,74.5566074894444,72.795372726705,10.9815766,1462135,3496684,4061573,,4.17833332061768,4.44,6.20333333333333,2042.01697342995,113.813750352212,80.3063411724041,0.848198507,,12650538.199129,11643557.891709
