"date","pop","gdp_nom","gdp_defl","cpi","ur","narrow","broad","stir","ltir"
"1958-01-01",174.882,481229,15.4957229347432,12.1859156454892,6.8,51451.8772118787,284122.660742366,1.5725,3.31583333333333
"1959-01-01",177.83,521654,15.7085532350794,12.2994872400731,5.5,51500,297799.999999999,3.305,4.33333333333333
"1960-01-01",180.671,542382,15.9228104991168,12.4830301885957,5.5,49800,312399.999999999,3.21583333333333,4.11666666666667
"1961-01-01",183.691,562209,16.0920588857777,12.6166438292826,6.7,51300,335499.999999999,1.955,3.8825
"1962-01-01",186.538,603922,16.2876336685114,12.7650252934138,5.5,52300,362699.999999999,2.70833333333333,3.94583333333333
"1963-01-01",189.242,637450,16.4740542468917,12.9253616622381,5.7,54900,393199.999999999,3.17833333333333,4.0025
"1964-01-01",191.889,684460,16.7251382866787,13.0962464763797,5.2,57700,424699.999999998,3.49666666666667,4.18666666666667
"1965-01-01",194.303,742289,17.0314398456673,13.3029960046005,4.5,61000,459200,4.075,4.2825
"1966-01-01",196.56,813414,17.5086135685923,13.700672393066,3.8,64200,480199.999999999,5.11166666666667,4.92333333333333
"1967-01-01",198.712,859959,18.016359047372,14.0821744987115,3.8,67800,524800,4.22,5.07333333333333
"1968-01-01",200.706,940651,18.7837478574103,14.6799197333634,3.6,73100,566800,5.65916666666667,5.64583333333333
"1969-01-01",202.677,1017615,19.7053380906545,15.4780854290457,3.5,76799.9999999999,587899.999999999,8.20416666666667,6.67083333333333
"1970-01-01",205.052,1073303,20.7453937102055,16.3887678747801,4.9,80999.9999999999,626499.999999999,7.18333333333333,7.34833333333333
"1971-01-01",207.661,1164850,21.797145238958,17.0814491172885,5.9,86800,710300,4.6625,6.15916666666667
"1972-01-01",209.896,1279110,22.7401173467151,17.64051671911,5.6,91399.9999999999,802300,4.43416666666667,6.21
"1973-01-01",211.909,1425376,23.9862583693091,18.7445873289965,4.9,100100,855499.999999999,8.7275,6.8425
"1974-01-01",213.854,1545243,26.1447081249902,20.8085664627652,5.6,108600,902099.999999998,10.5025,7.5575
